country name,tweet counts
Aruba,1
Australia,126
Brazil,1
Canada,134
China,57
Columbia,8
Egypt,1
El_Salvador,1
France,1
Georgia,1
Germany,6
Ghana,3
India,148
Indonesia,4
Iran,1
Ireland,35
Israel,1
Italy,11
Japan,5
Kenya,10
Madagascar,4
Malaysia,3
Mexico,1
Namibia,1
Nepal,1
New_Zealand,5
Nigeria,13
Pakistan,2
Philippines,20
Poland,3
Portugal,4
Russia,1
Saudi_Arabia,3
Serbia,4
Singapore,6
South_Africa,12
Spain,1
Sri_Lanka,1
Switzerland,4
Taiwan,1
Tunisia,1
Turkey,1
United_Arab_Emirates,11
United_Kingdom,121
United_States_of_America,1221
