timestamp,tweet_text,username,all_hashtags,followers_count,place
,,,,,
7/6/2020 23:59,"b""Don't ignore symptoms of cardiovascular disease during #Covid19. https://t.co/ZH6dSbG699""",b'CardioInstitute',['Covid19'],2550,"Melbourne, Victoria"
,,,,,
7/6/2020 23:59,"b""Hold a public inquiry into the Government's handling of the Covid-19 pandemic  #Covid19 - Sign the Petition! https://t.co/42imbfZx1W via @UKChange @CherylGillan""",b'NaomitimT',['Covid19'],36,UK
,,,,,
7/6/2020 23:59,b'Oh jeezus now we have to worry about ulcers in the eyeballs with #COVID19? It\xe2\x80\x99s so weird that there\xe2\x80\x99s hardly a predictor of outcome. A friend of mine &amp; a health care worker had it and she\xe2\x80\x99s now almost fine. Her husband still has loss of smell &amp; taste. #IHateCOVID19 https://t.co/uO8uG1v1Qi',b'DestiGrace1',"['COVID19', 'IHateCOVID19']",2682,U.S.A
,,,,,
7/6/2020 23:59,"b'I know that ICE\xe2\x80\x99s ruling re: foreign students and online learning is intended to be more racist garbage, but I gotta say that if I had the option, I\xe2\x80\x99d be racing to GTFO of here and move to a country with sane policies around #COVID19 protection and prevention.'",b'jguil4d',['COVID19'],57,"fairbanks, ak"
,,,,,
7/6/2020 23:59,"b'The people of Florida hate you with a mad, burning passion @GovRonDeSantis. #COVID\xe3\x83\xbc19 #COVID19 #Coronavirus #FailedLeadership #IncompetentGovernorship #CorruptGOP #FireDeSantis #DeSantisFailedFlorida https://t.co/of5NcCJXAi'",b'anastas2002',"['COVIDー19', 'COVID19', 'Coronavirus', 'FailedLeadership', 'IncompetentGovernorship', 'CorruptGOP', 'FireDeSantis', 'DeSantisFailedFlorida']",512,China
,,,,,
7/6/2020 23:59,"b""2 more tidbits from Abbott's TV hits tonight:  1) Big #COVID19 ICU bed crunch isn't in Dallas, Harris, Travis counties but Bexar, Nueces, the Rio Grande Valley, Midland-Odessa  2) 'Plenty of tests,' 60k/day &amp; 'they are revealing' lot of Texans have virus, were 'silent spreaders' https://t.co/l2CW8YK0mq""",b'RobertTGarrett',['COVID19'],9311,"Melbourne, Victoria"
,,,,,
7/6/2020 23:59,b'@SallyLawry @ScottMorrisonMP Same reason he released #COVID19 into Sydney from the #RubyPrincess?',b'Max_Gross',"['COVID19', 'RubyPrincess']",1187,Sapphire Coast
,,,,,
7/6/2020 23:59,b'@PeterKhalilMP Thank you Peter for your voice among all of this. Our First Nations have demonstrated how they have quickly mobilised their communities and spread health messages to protect their networks during #COVID19. Just one example of what could have been done.',b'H_Fetherston1',['COVID19'],513,"Melbourne, Victoria"
,,,,,
7/6/2020 23:59,"b'Join @DigitalAirStrk as they host a Facebook Live with our VP of Data and Analytics, Tyson Jominy. They will discuss the auto industry, car sales and #COVID19 recovery outlook.   RSVP now &gt; https://t.co/soVRWi3sNw https://t.co/4Nopp7hMz9'",b'JDPowerAutos',['COVID19'],41061,"Westlake Village, CA"
,,,,,
7/6/2020 23:59,"b""@realDonaldTrump That qualifies as #FakeNews from a #FakePresident. We lead the world in cases and deaths and #COVID19 is having a field day in the USA thanks to your #failure to lead. You can't worm your way out of this one, Donnie. #MAGA my withered white ass.""",b'MsWerner',"['FakeNews', 'FakePresident', 'COVID19', 'failure', 'MAGA']",8714,"Maryland, USA"
,,,,,
7/6/2020 23:59,b'Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/6FDJKhe7dn via @Change',b'angieepls',"['moneyforthepeople', 'covid19']",798,"San Francisco, CA"
,,,,,
7/6/2020 23:59,"b'Many of you received texts from Public Health this past week and helped us with contact tracing efforts for #COVID19. \xf0\x9f\x93\xa8  If you want to verify the text or have any questions, please call 520-626-4160. (New number with Tucson Poison Control Center) https://t.co/nIsiTq9w6z'",b'pinalhealth',['COVID19'],233,"Pinal County, AZ"
,,,,,
7/6/2020 23:59,"b'Thank you #Compton residents, who are protecting their families and community by coming out and getting tested for #COVID19. Every test given is a step closer to stopping its spread. Call today. It is FREE and confidential! https://t.co/72KDGZ8mFc'",b'mrmicahali',"['Compton', 'COVID19']",3756,"California, USA"
,,,,,
7/6/2020 23:59,"b'\xe2\x9a\xa0\xef\xb8\x8fCOVID-19 \xf0\x9f\xa6\xa0 \xf0\x9f\x9a\xa8 \xe2\x80\x9cAll school boards and charter school governing boards must open brick and mortar schools in August at least five days per week for all students,\xe2\x80\x9d the announcement states.  https://t.co/NfwYkYbdSk #SD13 #District13 #Coronavirus #COVID19 #FLDOE'",b'LindaStewartFL',"['SD13', 'District13', 'Coronavirus', 'COVID19', 'FLDOE']",2844,"Orlando, Florida"
,,,,,
7/6/2020 23:59,"b'Key Biscayne Mayor Mike Davey  Monday, July 6, 2020 COVID-19 UPDATE   \xe2\x80\xa2Mayor Davey has requested outdoor restaurant seating be allowed to remain open. Awaiting word from Mayor Gimenez.   https://t.co/5YlAwResrL  @kb_mayor  #covid19  #FlattenTheCurve #KBStayHome #WearAMask'",b'keybiscayne',"['covid19', 'FlattenTheCurve', 'KBStayHome', 'WearAMask']",99544,Key Biscayne
,,,,,
7/6/2020 23:59,"b'@DrRPNishank @thakur_ajay_ @HMOIndia @MoHFW_INDIA @narendramodi @AmitShah @PMOIndia @HRDMinistry @mygovindia @transformIndia @PIB_India @MIB_India @DDNewslive India is a third worst affected country in the world! 7lakh #COVID19 cases, almost 20,000 deaths (600+ today). Yet #UGCGuidelines insist that students must travel to their universities to take their final #UNIVERSITYexams, endangering them and their families. Shame! @DrRPNishank'",b'Rupali60060879',"['COVID19', 'UGCGuidelines', 'UNIVERSITYexams']",10,Canada
,,,,,
7/6/2020 23:59,b'Riding in the age of #Covid19 #equestrian #ridinglesson #horsesofinstagram #equinetherapy #maskup #stayhealthy #equitation #goodtimes #wereallinthistogether #2020shitshow #likes https://t.co/VsAcLhjfJh',b'Rfev',"['Covid19', 'equestrian', 'ridinglesson', 'horsesofinstagram', 'equinetherapy', 'maskup', 'stayhealthy', 'equitation', 'goodtimes', 'wereallinthistogether', '2020shitshow', 'likes']",376,"Washington, USA"
,,,,,
7/6/2020 23:59,"b'Check your hand sanitizer for those listed in this newest alert. FDA adds 5 ""toxic"" hand sanitizers to an already dangerous list, now at 14 https://t.co/1W9vkxG1Jr #HandSanitizer #MethanolPoisoning #COVID19 #Oregon #Alaska #Guam'",b'ORpoisoncenter',"['HandSanitizer', 'MethanolPoisoning', 'COVID19', 'Oregon', 'Alaska', 'Guam']",454,"Oregon, USA"
,,,,,
7/6/2020 23:59,"b'California reports 272 new cases bringing total confirmed cases there to 276,943 and 6,445 total deaths, with 6,401 new cases and 76 new deaths reported today.  #CoronaVirus #Covid19 #CoronaVirusOutbreak'",b'kr3at',"['CoronaVirus', 'Covid19', 'CoronaVirusOutbreak']",17635,Austraila
,,,,,
7/6/2020 23:59,"b'To date, $RY has been in touch with more than 3M clients, through a check-in program. It\xe2\x80\x99s hard to say what\xe2\x80\x99s going to happen when deferrals expire but there will be no extension of the deferral program beyond September will be necessary.\xf0\x9f\x8f\xa6\xf0\x9f\x92\xb8 #COVID19 #Canada https://t.co/00XzH4GWUH'",b'silberschmelzer',"['COVID19', 'Canada']",631,Canada
,,,,,
7/6/2020 23:58,"b'The Come Back, is always Greater than the Set Back. #Summer2020 #LinkInBio Always #MadeInUsa \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #FreeShipping during the #COVID19 / #CoronaVirus B.S. https://t.co/5CBYMh2bh1'",b'InsideTheDrop',"['Summer2020', 'LinkInBio', 'MadeInUsa', 'FreeShipping', 'COVID19', 'CoronaVirus']",1975,london
,,,,,
7/6/2020 23:58,b'Ventured out gloved &amp; masked for only second visit since mid March to local (non \xe2\x80\x9chotspot\xe2\x80\x9d) boutique bakery. Sign: \xe2\x80\x9cClosed today for cleaning as a precautionary measure\xe2\x80\x9d. Track &amp; trace in action? Time to bake. Dough rising. #covid19 #Melbourne #pandemic #coronavirus world',b'MediaActive',"['covid19', 'Melbourne', 'pandemic', 'coronavirus']",2852,Melbourne
,,,,,
7/6/2020 23:58,"b""I was upset that my passport expired during the #COVID19 lock down, but now it doesn't matter. No sane country allows infested Americans in to spread the disease that has run out of control here. There's no place to go.""",b'TallyAnnaE',['COVID19'],5185,"Florida, USA"
,,,,,
7/6/2020 23:58,b'Cybercriminals have shown us during the pandemic that they will let no opportunity go by without trying to take advantage.   Read more in this article from @DarkReading about how what the future of #cybersecurity could look like in a post #COVID19\xc2\xa0world: https://t.co/QD2BJymnRO https://t.co/rN7j3AUfjv',b'LogRhythm',"['cybersecurity', 'COVID19']",7392,"Boulder, CO"
,,,,,
7/6/2020 23:58,"b'Accra Girls teacher, spouse also test positive for COVID-19 https://t.co/0RP2wlyNrl #LocalNews #News #Coronavirus #Covid19 https://t.co/tfyANOtdkJ'",b'nsemgh',"['LocalNews', 'News', 'Coronavirus', 'Covid19']",33,"Accra, Ghana"
,,,,,
